currentLevel,measuredDistance,referenceLevel,id,observationDateTime
1.42,14.48,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-10 21:30:00.0
1.5,14.4,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-10 20:45:00.0
1.51,14.39,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-10 20:00:00.0
1.6,14.3,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-10 20:30:00.0
1.5,14.4,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-10 21:00:00.0
1.6,14.3,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-10 20:15:00.0
1.43,14.47,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-10 21:15:00.0
1.19,14.71,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 00:45:00.0
1.18,14.72,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 00:15:00.0
1.21,14.69,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 00:00:00.0
1.18,14.72,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 01:00:00.0
1.19,14.71,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 00:30:00.0
1.13,14.77,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 02:00:00.0
1.15,14.75,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 01:15:00.0
1.18,14.72,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 01:45:00.0
1.13,14.77,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 01:30:00.0
1.16,14.74,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 06:15:00.0
1.16,14.74,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 05:00:00.0
1.13,14.77,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 05:30:00.0
1.16,14.74,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 06:00:00.0
1.17,14.73,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 05:15:00.0
1.09,14.81,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 04:30:00.0
1.17,14.73,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 06:30:00.0
1.15,14.75,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 05:45:00.0
1.12,14.78,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 04:45:00.0
1.16,14.74,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 10:45:00.0
1.17,14.73,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 10:00:00.0
1.16,14.74,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 10:15:00.0
1.16,14.74,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 09:45:00.0
1.15,14.75,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 09:30:00.0
1.14,14.76,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 10:30:00.0
1.17,14.73,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 09:15:00.0
1.2,14.7,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 11:00:00.0
1.17,14.73,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 09:00:00.0
1.1,14.8,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 14:00:00.0
1.13,14.77,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 14:30:00.0
1.11,14.79,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 15:30:00.0
1.16,14.74,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 13:30:00.0
1.1,14.8,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 15:15:00.0
1.1,14.8,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 15:00:00.0
1.05,14.85,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 14:45:00.0
1.15,14.75,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 13:45:00.0
1.1,14.8,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 14:15:00.0
1.05,14.85,15.9,iisc.ac.in/89a36273d77dac4cf38114fca1bbe64392547f86/rs.iudx.io/pune-env-flood/FWR055,2020-10-11 18:45:00.0
